Check,Target,Status,Notes,,,,,,,,
All five jobs promotion time,35h ±5%,PASS,직업별 개인 DPS가 아니라 파티 throughput 기준,,,,,,,,
All five jobs STAT max time,120h ±5%,PASS,죽마 24m EXP/h 기준,,,,,,,,
Original party order,curse→sense→attack→heal,PASS,현자 가이드와 정합,,,,,,,,
Wizard formula recovered,Ragnarok MP×0.454,PASS,v3.9 OPEN 일부 해소,,,,,,,,
Meteor formula recovered,(MP-12960)×1.815,PASS,AC0/속공 실험,,,,,,,,
Daram cooldown,12 sec,PASS,2019 현자 자료,,,,,,,,
Dangerous resource skills,opt-in,LOCK,AUTO가 임의로 체마 전소 필살기를 난사하지 않음,,,,,,,,
AUTO damage bonus,none,LOCK,수동/자동 동일 전투공식,,,,,,,,
Party parity,±5%,LOCK,직업 선택이 성장시간 페널티가 되지 않게 함,,,,,,,,
Unknown exact cooldowns,remain open,OPEN,확인되지 않은 스킬 cooldown은 만들지 않음,,,,,,,,
