어둠의전설 MOBILE — Item/Economy Master DB v1.0,
범위,평민 → 5직업 → 1~5써클 → 전직/순수 → 1차 승급. 2차 이후 제외.
핵심1,직업별 의상/무기/투구/장갑/각반/신발/방패/악세서리를 원작 이름 기준으로 수집.
핵심2,"공격속성은 목걸이, 방어속성은 벨트가 담당. 모바일에서는 원작 규칙을 유지하고 Quick Swap만 추가."
핵심3,소비템·퀘스트템·승급재료·제작재료와 몬스터 드롭을 경제 루프로 연결.
신뢰도 SOURCE,원작 공식 사이트/넥슨 현자의마을에서 이름/역할/획득이 확인된 항목.
신뢰도 SOURCE+BALANCED,존재/획득처는 확인되나 드롭률·수치가 미공개여서 모바일 밸런스값 필요.
신뢰도 BALANCED,원작 세부 수치 공개자료가 없어 경제/전투 밸런스 목적으로 설계한 값.
중요,무기/갑옷의 '화/풍/토/수' 접미 성능차와 실제 전투 공격/방어속성 판정은 분리 저장.
경제,몬스터 사냥 → 잡템 NPC판매/희귀장비 유저거래 → 포션/장비/속성세팅/스킬재료 구입 → 상위사냥터로 순환.
World v1.0,활성 마을 5개: 밀레스 / 피에트 / 아벨 / 뤼케시온 / 마인
진행선,밀레스(초반) → 포테의숲 → 아벨해안 → 뤼케시온해안 → 호러캐슬/죽음의마을
좌표 원칙,원작 좌표가 확인된 것은 그대로 저장. 확인되지 않은 시설은 원작 명칭/기능만 유지하고 임의의 '원작 좌표'를 만들지 않음.
스피드부스터,최근 시스템으로 판단하여 Item_Master에서 삭제.
다음 연결,World_ID/Location_ID를 Monster/Item/Quest DB의 FK로 연결하면 실제 플레이 데이터셋 완성.
Final Progression v1.0,Lv1→승급 전체 플레이 루프를 Progression_Master로 확정.
활성 월드,밀레스 / 피에트 / 아벨 / 뤼케시온 / 마인만 Open.
잠금 월드,수오미/루어스/운디네/호엔/로톤/오렌/타고르 등은 출시 초기 LOCKED.
호러캐슬,입장료 100 Gold [ADAPTED]. 원작 구자료의 10만전은 채택하지 않음.
전직 2회차,"Lv1로 리셋 + 기존 스킬 유지. 모바일 편의로 EXP×2 [ADAPTED], 기존 5마을을 다시 순환."
순수직업,전직 없이 Lv99에서 승급 준비. 1차 승급 시 순수 전용 강화스킬 보상.
완료조건,각 구간마다 사냥터·스킬·장비·드롭·퀘스트·골드 생성/소각이 모두 연결되어야 다음 Gate가 열린다.
